condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
RN50_full,RN50_roi,0.7146235568453596,0.7061539633011048,0.008469593544254871,0.6463175473062894,0.5532866573782178,no,no
RN50_full,CBAM_full,0.7146235568453596,0.6449544204924476,0.06966913635291198,2.4120382852127977,0.07339262622475354,no,no
RN50_full,CBAM_roi,0.7146235568453596,0.6517608147824576,0.06286274206290196,4.532018797116132,0.01056108641303134,yes,no
RN50_full,ViT_full,0.7146235568453596,0.6959181303861894,0.01870542645917006,0.8371053409675212,0.4496320457579598,no,no
RN50_full,ViT_roi,0.7146235568453596,0.6619897393180101,0.052633817527349434,3.1346598296450017,0.03502750184149375,yes,no
RN50_roi,CBAM_full,0.7061539633011048,0.6449544204924476,0.061199542808657116,1.9346494082931547,0.12514455925786036,no,no
RN50_roi,CBAM_roi,0.7061539633011048,0.6517608147824576,0.05439314851864709,2.5692876681265218,0.0620254834156248,no,no
RN50_roi,ViT_full,0.7061539633011048,0.6959181303861894,0.010235832914915189,0.41738361224913256,0.6978271589996631,no,no
RN50_roi,ViT_roi,0.7061539633011048,0.6619897393180101,0.04416422398309457,2.390283333173434,0.0751446450003328,no,no
CBAM_full,CBAM_roi,0.6449544204924476,0.6517608147824576,-0.006806394290010021,-0.23180842076810868,0.8280629110669538,no,no
CBAM_full,ViT_full,0.6449544204924476,0.6959181303861894,-0.050963709893741924,-4.106308294434097,0.014776639402195238,yes,no
CBAM_full,ViT_roi,0.6449544204924476,0.6619897393180101,-0.01703531882556255,-0.5280802470515716,0.6253826560865572,no,no
CBAM_roi,ViT_full,0.6517608147824576,0.6959181303861894,-0.04415731560373191,-2.111758669117553,0.10228745926381291,no,no
CBAM_roi,ViT_roi,0.6517608147824576,0.6619897393180101,-0.01022892453555253,-0.7015394062067307,0.5216358189966244,no,no
ViT_full,ViT_roi,0.6959181303861894,0.6619897393180101,0.033928391068179374,1.248628569839457,0.2798910256159945,no,no
