condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
RN50_full,RN50_roi,0.7360960983682368,0.7180511808545951,0.018044917513641612,1.7455561238166848,0.15582302434735565,no,no
RN50_full,CBAM_full,0.7360960983682368,0.6888954815621922,0.04720061680604466,2.144896877320557,0.09854439352774685,no,no
RN50_full,CBAM_roi,0.7360960983682368,0.6640927805467821,0.07200331782145475,3.315264822903688,0.029508799607326972,yes,no
RN50_full,ViT_full,0.7360960983682368,0.7165799320659563,0.019516166302280546,0.8657534481325997,0.4354636908663272,no,no
RN50_full,ViT_roi,0.7360960983682368,0.6862400632472181,0.04985603512101879,3.0599852976588466,0.03765903703640373,yes,no
RN50_roi,CBAM_full,0.7180511808545951,0.6888954815621922,0.029155699292403046,1.40931863736422,0.23153571946968257,no,no
RN50_roi,CBAM_roi,0.7180511808545951,0.6640927805467821,0.05395840030781314,2.3918075962505743,0.07502035684690544,no,no
RN50_roi,ViT_full,0.7180511808545951,0.7165799320659563,0.0014712487886389346,0.06862199266588599,0.9485839337058551,no,no
RN50_roi,ViT_roi,0.7180511808545951,0.6862400632472181,0.03181111760737718,2.373862297422847,0.07649850578832267,no,no
CBAM_full,CBAM_roi,0.6888954815621922,0.6640927805467821,0.02480270101541009,1.1208713521105829,0.3250875922299857,no,no
CBAM_full,ViT_full,0.6888954815621922,0.7165799320659563,-0.027684450503764113,-2.2420836036907787,0.08841742081970698,no,no
CBAM_full,ViT_roi,0.6888954815621922,0.6862400632472181,0.002655418314974134,0.11266095999657871,0.9157269675328359,no,no
CBAM_roi,ViT_full,0.6640927805467821,0.7165799320659563,-0.0524871515191742,-2.4404401227374284,0.07117463598913884,no,no
CBAM_roi,ViT_roi,0.6640927805467821,0.6862400632472181,-0.022147282700435957,-1.215836483031867,0.2908928388975476,no,no
ViT_full,ViT_roi,0.7165799320659563,0.6862400632472181,0.030339868818738246,1.0851185927891476,0.3388935461841288,no,no
