condition_A,condition_B,mean_A,mean_B,mean_diff (A-B),t_stat,p_value,sig_at_0.05,sig_after_Bonferroni
RN50_full,RN50_roi,0.9182969355381921,0.8986304556504614,0.019666479887730626,1.559632057460345,0.19385866138710683,no,no
RN50_full,CBAM_full,0.9182969355381921,0.8898031506421656,0.028493784896026563,3.667587704648231,0.021436595794127326,yes,no
RN50_full,CBAM_roi,0.9182969355381921,0.884997536435663,0.03329939910252897,6.757419162949221,0.0025011508163405387,yes,yes
RN50_full,ViT_full,0.9182969355381921,0.9000404367882293,0.018256498749962692,1.09688776672788,0.3342911918091982,no,no
RN50_full,ViT_roi,0.9182969355381921,0.9020116592417662,0.016285276296426066,3.308203636051298,0.0297043285079252,yes,no
RN50_roi,CBAM_full,0.8986304556504614,0.8898031506421656,0.008827305008295937,0.8852861892613817,0.4260128948148276,no,no
RN50_roi,CBAM_roi,0.8986304556504614,0.884997536435663,0.013632919214798344,1.195111819186867,0.29805563722777884,no,no
RN50_roi,ViT_full,0.8986304556504614,0.9000404367882293,-0.001409981137767935,-0.11341504540187976,0.9151658949578994,no,no
RN50_roi,ViT_roi,0.8986304556504614,0.9020116592417662,-0.00338120359130456,-0.2838991928709284,0.7905768607998517,no,no
CBAM_full,CBAM_roi,0.8898031506421656,0.884997536435663,0.004805614206502407,0.6540931960675156,0.5487502472690894,no,no
CBAM_full,ViT_full,0.8898031506421656,0.9000404367882293,-0.010237286146063873,-0.964649057803711,0.3893474892469197,no,no
CBAM_full,ViT_roi,0.8898031506421656,0.9020116592417662,-0.012208508599600498,-1.6454710969512127,0.1752180087212853,no,no
CBAM_roi,ViT_full,0.884997536435663,0.9000404367882293,-0.01504290035256628,-1.1527617887036803,0.31320907447412444,no,no
CBAM_roi,ViT_roi,0.884997536435663,0.9020116592417662,-0.017014122806102906,-2.6897384529733945,0.0546728944093024,no,no
ViT_full,ViT_roi,0.9000404367882293,0.9020116592417662,-0.0019712224535366253,-0.12613696194791416,0.905709553541073,no,no
